,id,lat,long,address,postcode,total port,detail,area,geometry,index_right,OBJECTID,L_HOOD,S_HOOD,S_HOOD_ALT,Shape__Are,Shape__Len,extracted,level,type
157,84903,47.612154,-122.345283,"2125 1st Avenue, Seattle, WA, 98121",98121,2,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 2}]", Seattle,POINT (-122.345283 47.612154),33,60,Downtown,Belltown,Denny Regrade,9845864.78594971,17836.7271544608,"2, EV Plug (J1772)",2,EVPlug(J1772)
195,106777,47.6144471,-122.3410102,"2105 5th Avenue, Seattle, WA, 98121",98121,2,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 2}]", Seattle,POINT (-122.3410102 47.6144471),33,60,Downtown,Belltown,Denny Regrade,9845864.78594971,17836.7271544608,"2, EV Plug (J1772)",2,EVPlug(J1772)
207,114016,47.61588,-122.343138,"2235 5th Avenue, Seattle, WA, 98121",98121,4,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 2}, {'level': 2, 'name': 'EV Plug (J1772)', 'count': 2}]", Seattle,POINT (-122.343138 47.61588),33,60,Downtown,Belltown,Denny Regrade,9845864.78594971,17836.7271544608,"2, EV Plug (J1772), 2, EV Plug (J1772)","2, 2","EVPlug(J1772),EVPlug(J1772)"
214,118870,47.614387,-122.351622,"2600 Elliott Avenue, Seattle, WA, 98121",98121,2,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 2}]", Seattle,POINT (-122.351622 47.614387),33,60,Downtown,Belltown,Denny Regrade,9845864.78594971,17836.7271544608,"2, EV Plug (J1772)",2,EVPlug(J1772)
215,119164,47.6153062,-122.3521142,"2717 Western Avenue, Seattle, WA, 98121",98121,2,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 2}]", Seattle,POINT (-122.3521142 47.6153062),33,60,Downtown,Belltown,Denny Regrade,9845864.78594971,17836.7271544608,"2, EV Plug (J1772)",2,EVPlug(J1772)
255,135169,47.6160967,-122.3527187,"2800 Western Avenue, Seattle, WA, 98121",98121,4,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 4}]", Seattle,POINT (-122.3527187 47.6160967),33,60,Downtown,Belltown,Denny Regrade,9845864.78594971,17836.7271544608,"2, EV Plug (J1772)",2,EVPlug(J1772)
64,49727,47.66159,-122.324877,"300 Northeast 45th Street, Seattle, WA, 98105",98105,2,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 1}, {'level': 2, 'name': 'EV Plug (J1772)', 'count': 1}]", Seattle,POINT (-122.324877 47.66159),5,32,North Central,Wallingford,"Meridian, Tangle Town, Northlake",42068342.6137695,33040.2469861198,"2, EV Plug (J1772), 2, EV Plug (J1772)","2, 2","EVPlug(J1772),EVPlug(J1772)"
122,70244,47.661523,-122.324913,"324 Northeast 45th Street, Seattle, WA, 98105",98105,2,"[{'level': 2, 'name': 'Tesla', 'count': 2}]", Seattle,POINT (-122.324913 47.661523),5,32,North Central,Wallingford,"Meridian, Tangle Town, Northlake",42068342.6137695,33040.2469861198,"2, Tesla",2,Tesla
222,121603,47.6492281351155,-122.342061617054,"3400 Stone Way North, Seattle, WA, 98103",98103,4,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 4}]", Seattle,POINT (-122.342061617054 47.6492281351155),5,32,North Central,Wallingford,"Meridian, Tangle Town, Northlake",42068342.6137695,33040.2469861198,"2, EV Plug (J1772)",2,EVPlug(J1772)
68,51716,47.595392,-122.311507,"807 Rainier Avenue South, Seattle, WA, 98144",98144,2,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 2}]", Seattle,POINT (-122.311507 47.595392),52,79,Beacon Hill,North Beacon Hill,Jefferson Park,48475914.4557953,33865.4891739901,"2, EV Plug (J1772)",2,EVPlug(J1772)
97,61482,47.58002,-122.312203,"2535 16th Avenue South, Seattle, WA, 98144",98144,2,"[{'level': 3, 'name': 'CCS & CHAdeMO', 'count': 2}]", Seattle,POINT (-122.312203 47.58002),52,79,Beacon Hill,North Beacon Hill,Jefferson Park,48475914.4557953,33865.4891739901,"3, CCS & CHAdeMO",3,CCS&CHAdeMO
194,105833,47.595546,-122.31163,"801 Rainier Avenue South, Seattle, WA, 98144",98144,2,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 2}]", Seattle,POINT (-122.31163 47.595546),52,79,Beacon Hill,North Beacon Hill,Jefferson Park,48475914.4557953,33865.4891739901,"2, EV Plug (J1772)",2,EVPlug(J1772)
70,53566,47.661471,-122.299298,"2616 Northeast 46th Street, Seattle, WA, 98105",98105,2,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 2}]", Seattle,POINT (-122.299298 47.661471),9,36,Northeast,Ravenna,University Village,36783391.5366516,31163.6208763331,"2, EV Plug (J1772)",2,EVPlug(J1772)
93,60328,47.661361,-122.298284,"2623 Northeast University Village Street, Seattle, WA, 98105",98105,2,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 2}]", Seattle,POINT (-122.298284 47.661361),9,36,Northeast,Ravenna,University Village,36783391.5366516,31163.6208763331,"2, EV Plug (J1772)",2,EVPlug(J1772)
144,79978,47.663902,-122.300245,"2520 Northeast University Village Street, Seattle, WA, 98105",98105,10,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 4}, {'level': 2, 'name': 'EV Plug (J1772)', 'count': 6}]", Seattle,POINT (-122.300245 47.663902),9,36,Northeast,Ravenna,University Village,36783391.5366516,31163.6208763331,"2, EV Plug (J1772), 2, EV Plug (J1772)","2, 2","EVPlug(J1772),EVPlug(J1772)"
225,121606,47.6619766883491,-122.293346008603,"4516 Union Bay Place Northeast, Seattle, WA, 98105",98105,5,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 5}]", Seattle,POINT (-122.293346008603 47.6619766883491),9,36,Northeast,Ravenna,University Village,36783391.5366516,31163.6208763331,"2, EV Plug (J1772)",2,EVPlug(J1772)
88,58227,47.5975217,-122.3276786,"505 Union Station, 505 5th Avenue South, Seattle, WA, 98104",98104,4,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 4}]", Seattle,POINT (-122.3276786 47.5975217),34,61,Downtown,International District,"Chinatown, ID, Little Saigon",6169375.81655884,11772.3871410021,"2, EV Plug (J1772)",2,EVPlug(J1772)
129,73857,47.5975078,-122.328595,"550 4th Avenue South, Seattle, WA, 98134",98134,4,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 4}]", Seattle,POINT (-122.328595 47.5975078),34,61,Downtown,International District,"Chinatown, ID, Little Saigon",6169375.81655884,11772.3871410021,"2, EV Plug (J1772)",2,EVPlug(J1772)
89,58314,47.703632,-122.3565066,"211 North 103rd Street, Seattle, WA, 98133",98133,1,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 1}]", Seattle,POINT (-122.3565066 47.703632),88,118,Northwest,Greenwood,,42044563.6731262,26501.5265911049,"2, EV Plug (J1772)",2,EVPlug(J1772)
90,58318,47.7033895,-122.3558363,"10215 Greenwood Avenue North, Seattle, WA, 98133",98133,2,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 2}]", Seattle,POINT (-122.3558363 47.7033895),88,118,Northwest,Greenwood,,42044563.6731262,26501.5265911049,"2, EV Plug (J1772)",2,EVPlug(J1772)
197,108899,47.691832,-122.35681,"8623 Palatine Avenue North, Seattle, WA, 98103",98103,2,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 2}]", Seattle,POINT (-122.35681 47.691832),88,118,Northwest,Greenwood,,42044563.6731262,26501.5265911049,"2, EV Plug (J1772)",2,EVPlug(J1772)
198,108900,47.69158,-122.356266,"8616 Palatine Avenue North, Seattle, WA, 98103",98103,2,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 2}]", Seattle,POINT (-122.356266 47.69158),88,118,Northwest,Greenwood,,42044563.6731262,26501.5265911049,"2, EV Plug (J1772)",2,EVPlug(J1772)
210,117152,47.701359,-122.363146,"9999 Holman Road Northwest, Seattle, WA, 98117",98117,4,"[{'level': 3, 'name': 'CCS & CHAdeMO', 'count': 4}]", Seattle,POINT (-122.363146 47.701359),88,118,Northwest,Greenwood,,42044563.6731262,26501.5265911049,"3, CCS & CHAdeMO",3,CCS&CHAdeMO
101,63369,47.546291,-122.351988,"6000 16th Avenue Southwest, Seattle, WA, 98106",98106,4,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 4}]", Seattle,POINT (-122.351988 47.546291),64,91,Delridge,Riverview,,33038267.1929626,25917.1176391015,"2, EV Plug (J1772)",2,EVPlug(J1772)
158,85383,47.547708,-122.352708,"6000 16th Avenue Southwest, Seattle, WA, 98106",98106,1,"[{'level': 3, 'name': 'CCS & CHAdeMO', 'count': 1}]", Seattle,POINT (-122.352708 47.547708),64,91,Delridge,Riverview,,33038267.1929626,25917.1176391015,"3, CCS & CHAdeMO",3,CCS&CHAdeMO
106,66607,47.6825805,-122.317165,"7300 Roosevelt Way Northeast, Seattle, WA, 98115",98115,2,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 2}]", Seattle,POINT (-122.317165 47.6825805),14,41,Northeast,Roosevelt,Fairview,21491594.324707,22866.0797374364,"2, EV Plug (J1772)",2,EVPlug(J1772)
109,66898,47.713224,-122.298415,"11536 Lake City Way Northeast, Seattle, WA, 98125",98125,1,"[{'level': 3, 'name': 'CCS & CHAdeMO', 'count': 1}]", Seattle,POINT (-122.298415 47.713224),77,104,Lake City,Meadowbrook,,17034848.7789307,18770.2820324215,"3, CCS & CHAdeMO",3,CCS&CHAdeMO
110,66933,47.649948,-122.30746,"1959 Northeast Pacific Street, Seattle, WA, 98195",98195,4,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 4}]", Seattle,POINT (-122.30746 47.649948),15,42,University District,University of Washington,,25523675.1180115,30983.2126641678,"2, EV Plug (J1772)",2,EVPlug(J1772)
163,88343,47.648934,-122.302389,"3800 Montlake Boulevard Northeast, Seattle, WA, 98195",98195,2,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 2}]", Seattle,POINT (-122.302389 47.648934),15,42,University District,University of Washington,,25523675.1180115,30983.2126641678,"2, EV Plug (J1772)",2,EVPlug(J1772)
164,88344,47.650072,-122.310852,"3500 Columbia Road, Seattle, WA, 98195",98195,1,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 1}]", Seattle,POINT (-122.310852 47.650072),15,42,University District,University of Washington,,25523675.1180115,30983.2126641678,"2, EV Plug (J1772)",2,EVPlug(J1772)
165,88345,47.653047,-122.313915,"3740 Brooklyn Avenue Northeast, Seattle, WA, 98105",98105,4,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 4}]", Seattle,POINT (-122.313915 47.653047),15,42,University District,University of Washington,,25523675.1180115,30983.2126641678,"2, EV Plug (J1772)",2,EVPlug(J1772)
166,88346,47.656832,-122.311626,"4100 15th Avenue Northeast, Seattle, WA, 98105",98105,5,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 5}]", Seattle,POINT (-122.311626 47.656832),15,42,University District,University of Washington,,25523675.1180115,30983.2126641678,"2, EV Plug (J1772)",2,EVPlug(J1772)
167,88347,47.658987,-122.309214,"4224 Memorial Way Northeast, Seattle, WA, 98105",98105,1,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 1}]", Seattle,POINT (-122.309214 47.658987),15,42,University District,University of Washington,,25523675.1180115,30983.2126641678,"2, EV Plug (J1772)",2,EVPlug(J1772)
168,88348,47.660311,-122.309086,"4324 Memorial Way Northeast, Seattle, WA, 98105",98105,1,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 1}]", Seattle,POINT (-122.309086 47.660311),15,42,University District,University of Washington,,25523675.1180115,30983.2126641678,"2, EV Plug (J1772)",2,EVPlug(J1772)
224,121605,47.6560149395404,-122.305003488076,"4060 East Stevens Way Northeast, Seattle, WA, 98195",98195,5,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 5}]", Seattle,POINT (-122.305003488076 47.6560149395404),15,42,University District,University of Washington,,25523675.1180115,30983.2126641678,"2, EV Plug (J1772)",2,EVPlug(J1772)
115,67682,47.6039634,-122.3241159,"325 9th Avenue, Seattle, WA, 98104",98104,9,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 9}]", Seattle,POINT (-122.3241159 47.6039634),37,64,Downtown,Yesler Terrace,,5348937.24771118,9611.35354641661,"2, EV Plug (J1772)",2,EVPlug(J1772)
150,82416,47.60636,-122.321639,"515 Minor Avenue, Seattle, WA, 98104",98104,1,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 1}]", Seattle,POINT (-122.321639 47.60636),37,64,Downtown,Yesler Terrace,,5348937.24771118,9611.35354641661,"2, EV Plug (J1772)",2,EVPlug(J1772)
151,82447,47.605477,-122.323427,"908 Jefferson, Seattle, WA, 98104",98104,6,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 6}]", Seattle,POINT (-122.323427 47.605477),37,64,Downtown,Yesler Terrace,,5348937.24771118,9611.35354641661,"2, EV Plug (J1772)",2,EVPlug(J1772)
216,119262,47.6004833,-122.31738,"209 12th Avenue South, Seattle, WA, 98144",98144,8,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 8}]", Seattle,POINT (-122.31738 47.6004833),37,64,Downtown,Yesler Terrace,,5348937.24771118,9611.35354641661,"2, EV Plug (J1772)",2,EVPlug(J1772)
217,119661,47.6013484,-122.3179139,"125 South Boren Avenue, Seattle, WA, 98144",98144,6,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 6}]", Seattle,POINT (-122.3179139 47.6013484),37,64,Downtown,Yesler Terrace,,5348937.24771118,9611.35354641661,"2, EV Plug (J1772)",2,EVPlug(J1772)
130,74012,47.66547,-122.350292,"750 North 50th Street, Seattle, WA, 98103",98103,1,"[{'level': 3, 'name': 'CCS & CHAdeMO', 'count': 1}]", Seattle,POINT (-122.350292 47.66547),4,31,North Central,Phinney Ridge,Woodland Park,32123117.8777466,27120.7859379681,"3, CCS & CHAdeMO",3,CCS&CHAdeMO
161,86729,47.670292,-122.353627,"601 North 59th Street, Seattle, WA, 98103",98103,5,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 5}]", Seattle,POINT (-122.353627 47.670292),4,31,North Central,Phinney Ridge,Woodland Park,32123117.8777466,27120.7859379681,"2, EV Plug (J1772)",2,EVPlug(J1772)
131,74079,47.635213,-122.325845,"1818 Fairview Avenue East, Seattle, WA, 98102",98102,8,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 8}]", Seattle,POINT (-122.325845 47.635213),21,48,Cascade,Eastlake,,7426907.96139526,16672.5117837403,"2, EV Plug (J1772)",2,EVPlug(J1772)
133,74983,47.662307,-122.3697155,"907 Northwest Ballard Way, Seattle, WA, 98107",98107,2,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 2}]", Seattle,POINT (-122.3697155 47.662307),3,30,Ballard,West Woodland,,22199366.8730164,21789.6510873493,"2, EV Plug (J1772)",2,EVPlug(J1772)
159,86375,47.662639,-122.374975,"1416 Northwest Ballard Way, Seattle, WA, 98107",98107,8,"[{'level': 3, 'name': 'Tesla Supercharger', 'count': 8}]", Seattle,POINT (-122.374975 47.662639),3,30,Ballard,West Woodland,,22199366.8730164,21789.6510873493,"3, Tesla Supercharger",3,TeslaSupercharger
182,99386,47.6617217,-122.3758674,"1451 Northwest 46th Street, Seattle, WA, 98107",98107,2,"[{'level': 3, 'name': 'CCS & CHAdeMO', 'count': 2}]", Seattle,POINT (-122.3758674 47.6617217),3,30,Ballard,West Woodland,,22199366.8730164,21789.6510873493,"3, CCS & CHAdeMO",3,CCS&CHAdeMO
199,109360,47.6596042,-122.3692457,"915 Northwest 45th Street, Seattle, WA, 98107",98107,15,"[{'level': 3, 'name': 'Tesla Supercharger', 'count': 12}, {'level': 3, 'name': 'CCS & CHAdeMO', 'count': 1}, {'level': 3, 'name': 'CCS & CCS', 'count': 2}]", Seattle,POINT (-122.3692457 47.6596042),3,30,Ballard,West Woodland,,22199366.8730164,21789.6510873493,"3, Tesla Supercharger, 3, CCS & CHAdeMO, 3, CCS & CCS","3, 3, 3","TeslaSupercharger,CCS&CHAdeMO,CCS&CCS"
203,111321,47.66834386882019,-122.3749347840614,"1423 Northwest Market Street, Seattle, WA, 98107",98107,3,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 3}]", Seattle,POINT (-122.3749347840614 47.66834386882019),3,30,Ballard,West Woodland,,22199366.8730164,21789.6510873493,"2, EV Plug (J1772)",2,EVPlug(J1772)
136,75395,47.7199844,-122.3440925,"12500 Aurora Avenue, Seattle, WA, 98133",98133,4,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 4}]", Seattle,POINT (-122.3440925 47.7199844),82,112,Northgate,Haller Lake,,47203081.0796204,29413.5534484151,"2, EV Plug (J1772)",2,EVPlug(J1772)
145,81009,47.682853,-122.289913,"7340 35Th Avenue Northeast, Seattle, WA, 98115",98115,2,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 2}]", Seattle,POINT (-122.289913 47.682853),11,38,Northeast,Bryant,,15485078.0333252,20928.0017243062,"2, EV Plug (J1772)",2,EVPlug(J1772)
148,82246,47.6807529,-122.4047949,"7001 Seaview Avenue Northwest, Seattle, WA, 98117",98117,8,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 8}]", Seattle,POINT (-122.4047949 47.6807529),89,119,Ballard,Sunset Hill,"Golden Gardens, Shilshole",24335620.4689941,29416.7300633571,"2, EV Plug (J1772)",2,EVPlug(J1772)
149,82322,47.571333,-122.328404,"409 South Spokane Street, Seattle, WA, 98134",98134,4,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 2}, {'level': 3, 'name': 'CCS & CHAdeMO', 'count': 2}]", Seattle,POINT (-122.328404 47.571333),93,126,Greater Duwamish,Industrial District,,62434131.0114746,88995.7569839975,"2, EV Plug (J1772), 3, CCS & CHAdeMO","2, 3","EVPlug(J1772),CCS&CHAdeMO"
152,82802,47.563966,-122.287468,"4412 Rainier Avenue South, Seattle, WA, 98118",98118,2,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 2}]", Seattle,POINT (-122.287468 47.563966),61,88,Rainier Valley,Columbia City,Columbia Heights,37406576.4927979,35177.0608039675,"2, EV Plug (J1772)",2,EVPlug(J1772)
249,134358,47.5597763,-122.2911963,"4740 32nd Ave., South, Seattle, WA, 98119",98119,4,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 4}]", Seattle,POINT (-122.2911963 47.5597763),61,88,Rainier Valley,Columbia City,Columbia Heights,37406576.4927979,35177.0608039675,"2, EV Plug (J1772)",2,EVPlug(J1772)
154,83347,47.681381,-122.25875,"Sportsfield Drive Northeast, Seattle, WA, 98115",98115,2,"[{'level': 3, 'name': 'CCS & CHAdeMO', 'count': 2}]", Seattle,POINT (-122.25875 47.681381),10,37,Northeast,Sand Point,,19249857.1397095,21396.6958008648,"3, CCS & CHAdeMO",3,CCS&CHAdeMO
171,88862,47.523218,-122.393376,"4829 Southwest Barton Street, Seattle, WA, 98136",98136,3,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 3}]", Seattle,POINT (-122.393376 47.523218),51,78,West Seattle,Fauntleroy,"Endolyne, Arroyo Heights, Brace Point",33881863.8706665,42276.5317877774,"2, EV Plug (J1772)",2,EVPlug(J1772)
174,92256,47.616915,-122.303963,"2113 East Olive Street, Seattle, WA, 98122",98122,2,"[{'level': 3, 'name': 'CCS & CHAdeMO', 'count': 2}]", Seattle,POINT (-122.303963 47.616915),28,55,Central Area,Minor,"Central District, Squire Park",17933144.708252,18241.5487859812,"3, CCS & CHAdeMO",3,CCS&CHAdeMO
175,92265,47.56223,-122.381761,"4535 39th Avenue Southwest, Seattle, WA, 98116",98116,2,"[{'level': 3, 'name': 'CCS & CHAdeMO', 'count': 1}, {'level': 3, 'name': 'CCS & CHAdeMO', 'count': 1}]", Seattle,POINT (-122.381761 47.56223),50,77,West Seattle,Genesee,"Alaska Junction, West Seattle Junction",21164976.5813446,19870.8696089241,"3, CCS & CHAdeMO, 3, CCS & CHAdeMO","3, 3","CCS&CHAdeMO,CCS&CHAdeMO"
176,92589,47.52317,-122.27056,"9019 RAINIER Avenue South, Seattle, WA, 98118",98118,4,"[{'level': 3, 'name': 'CCS & CHAdeMO', 'count': 1}, {'level': 3, 'name': 'CCS & CCS', 'count': 3}]", Seattle,POINT (-122.27056 47.52317),57,84,Rainier Valley,Dunlap,,19601601.2150879,20847.6531922997,"3, CCS & CHAdeMO, 3, CCS & CCS","3, 3","CCS&CHAdeMO,CCS&CCS"
204,111361,47.538782,-122.282797,"7101 Martin Luther King Jr Way South, Seattle, WA, 98118",98118,4,"[{'level': 3, 'name': 'CCS & CHAdeMO', 'count': 4}]", Seattle,POINT (-122.282797 47.538782),55,82,Beacon Hill,Holly Park,New Holly,8444235.97859192,15848.3624185113,"3, CCS & CHAdeMO",3,CCS&CHAdeMO
251,134734,47.5403411,-122.2832798,"6901 Martin Luther King Junior Way South, Seattle, WA, 98118",98118,2,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 2}]", Seattle,POINT (-122.2832798 47.5403411),55,82,Beacon Hill,Holly Park,New Holly,8444235.97859192,15848.3624185113,"2, EV Plug (J1772)",2,EVPlug(J1772)
205,112439,47.72305,-122.29212,"13000 Lake City Way Northeast, Seattle, WA, 98125",98125,4,"[{'level': 3, 'name': 'CCS & CHAdeMO', 'count': 1}, {'level': 3, 'name': 'CCS & CCS', 'count': 3}]", Seattle,POINT (-122.29212 47.72305),79,106,Lake City,Cedar Park,,20441485.8487244,22788.760382662,"3, CCS & CHAdeMO, 3, CCS & CCS","3, 3","CCS&CHAdeMO,CCS&CCS"
209,116175,47.70931,-122.31601,"11100 Roosevelt Way Northeast, Seattle, WA, 98125",98125,2,"[{'level': 3, 'name': 'CCS & CHAdeMO', 'count': 2}]", Seattle,POINT (-122.31601 47.70931),83,113,Northgate,Pinehurst,Jackson Park,29438850.8770142,26171.2717608103,"3, CCS & CHAdeMO",3,CCS&CHAdeMO
230,123908,47.512,-122.28809,"3401 South Norfolk Street, Seattle, WA, 98118",98118,4,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 4}]", Seattle,POINT (-122.28809 47.512),54,81,Beacon Hill,South Beacon Hill,,38448826.8989563,38996.7151070849,"2, EV Plug (J1772)",2,EVPlug(J1772)
233,128366,47.648127,-122.317529,"2915 Fuhrman Avenue East, Seattle, WA, 98102",98102,2,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 2}]", Seattle,POINT (-122.317529 47.648127),70,97,Capitol Hill,Portage Bay,Roanoke Park,4421635.26721191,10013.2739563989,"2, EV Plug (J1772)",2,EVPlug(J1772)
242,133700,47.60025,-122.29722,"241 Martin Luther King Junior Way South, Seattle, WA, 98144",98144,1,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 1}]", Seattle,POINT (-122.29722 47.60025),31,58,Central Area,Atlantic,"Judkins Park, Jackson Place, Coleman",20664986.2726135,25426.2311626675,"2, EV Plug (J1772)",2,EVPlug(J1772)
247,134190,47.689356,-122.37659,"8340 15th Avenue Northwest, Seattle, WA, 98117",98117,4,"[{'level': 3, 'name': 'CCS & CHAdeMO', 'count': 4}]", Seattle,POINT (-122.37659 47.689356),2,29,Ballard,Whittier Heights,,14195687.4919434,15934.4392663199,"3, CCS & CHAdeMO",3,CCS&CHAdeMO
250,134718,47.7265843,-122.347325,"13280 Linden Avenue North, Seattle, WA, 98133",98133,2,"[{'level': 2, 'name': 'EV Plug (J1772)', 'count': 2}]", Seattle,POINT (-122.347325 47.7265843),81,111,Northwest,Bitter Lake,,27690336.4438171,26446.2030540938,"2, EV Plug (J1772)",2,EVPlug(J1772)
